sex,age,rf_ldl,rf_sbp,rf_lpa,rf_lsi,rf_dmp
1,43.599998,3.4814708,122.46317,22,.69401067,.027303362
1,43.700001,3.4813669,122.514,22,.69552243,.027590433
1,43.799999,3.4812365,122.56524,22,.69697452,.027880225
1,43.900002,3.4810798,122.61687,22,.69834793,.028172771
1,44,3.4808969,122.66888,22,.69985592,.028468048
1,44.099998,3.4806881,122.72127,22,.70129615,.028766075
1,44.200001,3.4804537,122.77403,22,.70269221,.029066866
1,44.299999,3.4801936,122.82716,22,.70411581,.029370399
1,44.400002,3.479908,122.88065,22,.7054497,.029676704
1,44.5,3.4795973,122.93448,22,.70681608,.029985754
1,44.599998,3.4792619,122.98865,22,.70821291,.030297566
1,44.700001,3.4789011,123.04317,22,.70965314,.030612148
1,44.799999,3.4785161,123.09801,22,.71103227,.03092948
1,44.900002,3.4781063,123.15318,22,.71236724,.031249583
1,45,3.4776723,123.20866,22,.71374965,.031572431
1,45.099998,3.4772141,123.26446,22,.71507567,.031898033
1,45.200001,3.4767323,123.32056,22,.71637297,.032226395
1,45.299999,3.4762263,123.37695,22,.717641,.032557495
1,45.400002,3.4756968,123.43364,22,.71891499,.032891348
1,45.5,3.4751439,123.4906,22,.72017789,.033227924
1,45.599998,3.4745679,123.54784,22,.72147572,.033567227
1,45.700001,3.4739685,123.60535,22,.72263503,.033909265
1,45.799999,3.4733467,123.66313,22,.72383666,.034254003
1,45.900002,3.4727018,123.72115,22,.72502118,.034601457
1,46,3.4720347,123.77944,22,.72622877,.03495159
1,46.099998,3.4713449,123.83795,22,.72741818,.035304401
1,46.200001,3.4706333,123.89671,22,.72859204,.035659898
1,46.299999,3.4698997,123.9557,22,.72974586,.036018036
1,46.400002,3.4691441,124.0149,22,.73092335,.036378827
1,46.5,3.4683669,124.07432,22,.73208576,.036742233
1,46.599998,3.4675684,124.13395,22,.73311198,.037108246
1,46.700001,3.4667485,124.19378,22,.73426473,.037476867
1,46.799999,3.4659078,124.25379,22,.73540854,.037848048
1,46.900002,3.4650459,124.31401,22,.73644668,.038221795
1,47,3.4641633,124.3744,22,.73756391,.038598061
1,47.099998,3.4632604,124.43496,22,.73859501,.038976837
1,47.200001,3.4623368,124.4957,22,.73968756,.039358117
1,47.299999,3.4613934,124.55658,22,.74072361,.039741848
1,47.400002,3.4604297,124.61763,22,.74174774,.04012803
1,47.5,3.4594462,124.67883,22,.74277031,.040516611
1,47.599998,3.4584432,124.74016,22,.74367917,.04090758
1,47.700001,3.4574206,124.80162,22,.74467885,.041300949
1,47.799999,3.4563789,124.8632,22,.74564362,.041696683
1,47.900002,3.455318,124.92492,22,.74668485,.042094816
1,48,3.4542382,124.98674,22,.74769461,.042495314
1,48.099998,3.4531395,125.04868,22,.7486943,.042898193
1,48.200001,3.4520223,125.11069,22,.74964249,.043303467
1,48.299999,3.450887,125.17281,22,.75053489,.043711103
1,48.400002,3.449733,125.23502,22,.75148082,.044121128
1,48.5,3.4485614,125.2973,22,.75238407,.04453351
1,48.599998,3.4473717,125.35966,22,.75326455,.044948269
1,48.700001,3.4461644,125.42209,22,.75410128,.045365412
1,48.799999,3.4449399,125.48457,22,.7549147,.045784902
1,48.900002,3.4436977,125.54709,22,.75576246,.046206776
1,49,3.4424384,125.60967,22,.75653422,.046630997
1,49.099998,3.4411623,125.67228,22,.75733411,.047057576
1,49.200001,3.4398694,125.73493,22,.75813675,.047486529
1,49.299999,3.43856,125.79758,22,.75895232,.047917817
1,49.400002,3.4372339,125.86028,22,.75966787,.04835147
1,49.5,3.4358919,125.92297,22,.7604903,.04878746
1,49.599998,3.4345336,125.98567,22,.76116931,.049225789
1,49.700001,3.4331596,126.04837,22,.76195127,.049666468
1,49.799999,3.4317698,126.11105,22,.76270878,.050109472
1,49.900002,3.4303646,126.17373,22,.76337433,.050554823
1,50,3.4289439,126.23637,22,.76411974,.05100248
1,50.099998,3.4275081,126.29899,22,.7647624,.051452465
1,50.200001,3.4260573,126.36156,22,.76545358,.051904783
1,50.299999,3.424592,126.4241,22,.76613438,.052359395
1,50.400002,3.4231119,126.48659,22,.76680249,.052816328
1,50.5,3.4216173,126.54902,22,.76745379,.053275555
1,50.599998,3.4201083,126.61137,22,.76809967,.053737074
1,50.700001,3.4185855,126.67367,22,.7687065,.054200899
1,50.799999,3.4170489,126.73588,22,.76924706,.054667
1,50.900002,3.4154983,126.79801,22,.76968527,.055135395
1,51,3.4139342,126.86005,22,.77022517,.055606049
1,51.099998,3.4123569,126.92199,22,.77075469,.05607897
1,51.200001,3.4107661,126.98383,22,.77125674,.056554168
1,51.299999,3.4091628,127.04555,22,.77172279,.057031605
1,51.400002,3.4075463,127.10715,22,.77228236,.057511315
1,51.5,3.4059172,127.16863,22,.77274954,.057993244
1,51.599998,3.4042759,127.22998,22,.77319312,.058477405
1,51.700001,3.402622,127.29118,22,.77363729,.058963817
1,51.799999,3.4009562,127.35226,22,.77409732,.059452433
1,51.900002,3.3992784,127.41316,22,.77461594,.059943281
1,52,3.3975887,127.47391,22,.775002,.060436316
1,52.099998,3.3958876,127.53449,22,.77536964,.060931545
1,52.200001,3.3941753,127.59491,22,.77571738,.061428986
1,52.299999,3.3924515,127.65512,22,.7762028,.061928589
1,52.400002,3.3907168,127.71518,22,.77666724,.062430389
1,52.5,3.3889713,127.77502,22,.77704585,.062934332
1,52.599998,3.3872154,127.83468,22,.7774114,.063440435
1,52.700001,3.3854485,127.89413,22,.77775741,.063948698
1,52.799999,3.3836715,127.95338,22,.77811134,.064459093
1,52.900002,3.3818843,128.01244,22,.77844322,.064971633
1,53,3.3800874,128.07129,22,.77874273,.065486275
1,53.099998,3.3782806,128.12994,22,.77909774,.066003025
1,53.200001,3.3764641,128.1884,22,.77941895,.066521905
1,53.299999,3.3746383,128.24667,22,.77966869,.067042857
1,53.400002,3.3728032,128.30475,22,.77990133,.067565903
